Date,Net Sales,Orders,Guests
20241002,4323.15,84,98
20241003,5369.92,92,127
20241004,8950.02,146,194
20241005,8488.17,136,210
20241006,6148.01,89,116
20241007,3651.77,78,88
20241008,4137.63,72,95
20241009,6474.44,91,120
20241010,5635.23,90,124
20241011,8557.73,142,195
20241012,6353.5,92,150
20241013,6247.65,101,141
20241014,6250.66,118,147
20241015,4531.35,79,98
20241016,13942.26,91,121
20241017,6444.65,108,128
20241018,8933.63,145,190
20241019,7803.29,117,164
20241020,3649.6,65,83
20241021,4055.22,83,99
20241022,6288.16,98,140
20241023,6724.23,113,148
20241024,5074.55,92,127
20241025,9529.29,156,215
20241026,9417.62,159,228
20241027,3711.96,63,79
20241028,3889.96,73,88
20241029,5586.83,90,125
20241030,5195.05,86,109
20241031,6056.18,91,110
20241101,8456.09,142,190
20241102,8196.86,121,190
20241103,5846.09,93,112
20241104,5201.27,88,125
20241105,6306.57,105,141
20241106,4380.05,79,101
20241107,4510.47,88,113
20241108,9954.11,142,201
20241109,8848.99,116,164
20241110,5187.87,78,118
20241111,4839.61,88,131
20241112,4597.81,81,116
20241113,5498.06,95,140
20241114,6899.51,119,154
20241115,8059.23,139,179
20241116,14032.24,130,170
20241117,5676.93,87,111
20241118,4061.66,76,90
20241119,5457.45,94,117
20241120,6622.69,111,142
20241121,6199.54,95,135
20241122,10599.38,151,187
20241123,6377.62,105,136
20241124,4928.94,73,100
20241125,5781.63,97,137
20241126,6691.86,97,127
20241127,8355.58,107,168
20241128,3052.28,44,49
20241129,5864.15,92,140
20241130,6449.47,89,133
20241201,5324.07,83,104
20241202,3566.85,74,91
20241203,5373.8,73,106
20241204,4298.96,83,103
20241205,4167.17,85,108
20241206,9157.03,136,177
20241207,6990.61,119,194
20241208,5678.63,83,115
20241209,3162.23,66,85
20241210,4487.83,75,117
20241211,4057.27,82,105
20241212,7197.45,95,123
20241213,9501.04,160,210
20241214,8611.8,123,176
20241215,7161.46,112,135
20241216,5035.13,82,101
20241217,5803.87,98,123
20241218,6957.17,119,179
20241219,6188.26,106,141
20241220,9912.3,156,192
20241221,6446.13,106,152
20241222,4810.26,70,102
20241223,7197.09,102,144
20241224,4857.37,74,102
20241225,3071.78,49,55
20241226,5934.69,83,110
20241227,8213.49,119,168
20241228,7533.99,112,169
20241229,5452.42,77,105
20241230,5644.13,96,128
20241231,9718.43,132,170
